Cmdline: /system/bin/simpleperf record -p 30765 --duration 8 -o /data/local/tmp/perf.data
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 14060
Event count: 5616537326

Children  Self   Shared Object                                                                                                                                   Symbol
0.34%     0.34%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c950]
0.33%     0.33%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb7c]
0.32%     0.32%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83534]
0.32%     0.32%  /system/lib64/libhwui.so                                                                                                                        SkCanvas::internalQuickReject(SkRect const&, SkPaint const&, SkMatrix const*)
0.31%     0.31%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c832f0]
0.31%     0.31%  /system/lib64/libhwui.so                                                                                                                        android::android_view_RenderNode_isValid(long) (.__uniq.317308322416686821681536579661143593440)
0.29%     0.29%  /apex/com.android.art/lib64/libart.so                                                                                                           art_quick_imt_conflict_trampoline
0.29%     0.29%  [JIT app cache]                                                                                                                                 java.lang.String.length
0.29%     0.29%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c7dd58]
0.27%     0.27%  [kernel.kallsyms]                                                                                                                               __page_pinner_put_page
0.27%     0.27%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cbc4]
0.27%     0.27%  [kernel.kallsyms]                                                                                                                               _raw_spin_lock
0.27%     0.27%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cae4]
0.26%     0.26%  [JIT app cache]                                                                                                                                 org.json.JSONTokener.nextCleanInternal
0.26%     0.26%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83324]
0.25%     0.25%  /apex/com.android.art/lib64/libart.so                                                                                                           void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
0.24%     0.24%  [JIT app cache]                                                                                                                                 java.lang.StringLatin1.canEncode
0.24%     0.24%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cae8]
0.24%     0.24%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb34]
0.23%     0.23%  [kernel.kallsyms]                                                                                                                               local_daif_restore
0.23%     0.23%  [JIT app cache]                                                                                                                                 java.lang.AbstractStringBuilder.ensureCapacityInternal
0.22%     0.22%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8330c]
0.22%     0.22%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c832cc]
0.22%     0.22%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cad4]
0.21%     0.21%  [JIT app cache]                                                                                                                                 java.util.Objects.checkIndex
0.21%     0.21%  [JIT app cache]                                                                                                                                 org.json.JSONStringer.value
0.21%     0.21%  /system/lib64/libhwui.so                                                                                                                        sktext::GlyphRunBuilder::blobToGlyphRunList(SkTextBlob const&, SkPoint)
0.21%     0.21%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8bf78]
0.21%     0.21%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83558]
0.20%     0.20%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83320]
0.20%     0.20%  /apex/com.android.art/lib64/libart.so                                                                                                           __aarch64_cas4_acq
0.20%     0.20%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83560]
0.19%     0.19%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.19%     0.19%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c832e8]
0.19%     0.19%  /apex/com.android.art/lib64/libart.so                                                                                                           artQuickToInterpreterBridge
0.19%     0.19%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8331c]
0.19%     0.19%  [kernel.kallsyms]                                                                                                                               unmap_page_range
0.19%     0.19%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9caec]
0.19%     0.19%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8354c]
0.19%     0.19%  [vdso]                                                                                                                                          __kernel_clock_gettime
0.19%     0.19%  [JIT app cache]                                                                                                                                 java.lang.StringBuilder.append
0.18%     0.18%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83330]
0.18%     0.18%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        @plt
0.18%     0.18%  [JIT app cache]                                                                                                                                 java.lang.String.equals
0.17%     0.17%  [JIT app cache]                                                                                                                                 java.util.LinkedHashMap$LinkedHashIterator.nextNode
0.17%     0.17%  /apex/com.android.art/lib64/libart.so                                                                                                           art::String_fastSubstring(_JNIEnv*, _jobject*, int, int) (.__uniq.211321754789976184382062795672362477106)
0.17%     0.17%  [JIT app cache]                                                                                                                                 android.widget.Editor.drawHardwareAcceleratedInner
0.17%     0.17%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c968]
0.17%     0.17%  /apex/com.android.art/lib64/libart.so                                                                                                           art::String_charAt(_JNIEnv*, _jobject*, int) (.__uniq.211321754789976184382062795672362477106)
0.16%     0.16%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c4d8]
0.16%     0.16%  [JIT app cache]                                                                                                                                 java.util.ArrayList.set
